timestamp,plate,confidence,processing_time
2026-05-04 14:33:55,TN01BV3973,0.857,47.89
2026-05-04 14:35:35,TN01BV4362,0.944,28.66
2026-05-04 14:35:50,TH01BW9316,0.829,35.88
2026-05-04 14:35:52,TN01BV4305,0.934,35.86
2026-05-04 14:36:35,TN01BV3708,0.94,30.99
2026-05-04 14:37:07,TN01BV6234,0.89,27.63
2026-05-04 14:37:14,TN01B6234,0.818,29.13
2026-05-04 14:39:42,TN01BV3546,0.922,49.15
2026-05-04 14:39:58,TN018V3,0.782,38.37
2026-05-04 14:40:00,TN018V3943,0.825,46.9
2026-05-04 14:40:02,TN01BV3943,0.84,35.59
2026-05-04 14:40:31,TN01BV3757,0.934,42.57
2026-05-04 14:40:36,TN018V3757,0.953,44.32
2026-05-04 14:45:20,TN01BV3948,0.868,28.58
2026-05-04 14:46:57,TN01BV3702,0.957,28.13
2026-05-04 14:47:02,N01BV3702,0.884,27.64
2026-05-04 14:47:04,TN018V3702,0.91,30.61
2026-05-04 14:48:26,TN018Y3907,0.754,43.93
2026-05-04 14:48:28,TN018V3907,0.896,24.76
2026-05-04 14:48:30,TN01BV3907,0.894,31.52
2026-05-04 14:48:32,TH01BY3907,0.865,31.58
2026-05-04 15:01:28,TN01B4369,0.951,29.86
2026-05-04 15:01:32,TN01BV4369,0.937,44.38
2026-05-04 15:12:46,TN01BV3753,0.813,25.35
2026-05-04 15:12:48,TH01BV3753,0.835,42.52
2026-05-04 15:12:55,TH01BY3753,0.86,26.84
2026-05-04 15:33:16,TN018V3915,0.906,33.74
2026-05-04 15:33:21,TN01BV3915,0.935,40.39
2026-05-04 15:35:31,TN01BV3981,0.852,34.15
2026-05-04 15:37:48,TN01BV6239,0.956,43.84
2026-05-04 15:39:10,TN01BV4314,0.931,45.88
2026-05-04 15:40:11,TN01BV3731,0.917,42.82
2026-05-04 15:41:10,C0SEX3C0NT,0.723,51.49
2026-05-04 15:41:12,TN01BV4390,0.893,46.06
2026-05-04 15:41:44,TN01BV3976,0.895,33.94
2026-05-04 15:44:53,TN01BV3744,0.925,47.66
2026-05-12 14:33:38,TH01BW2615,0.858,33.88
2026-05-12 14:33:40,TN01BW2615,0.829,59.03
2026-05-12 14:34:01,TN01BH2657,0.857,30.61
2026-05-12 14:34:19,TN018W5323,0.836,31.49
2026-05-12 14:34:28,TN01BW5323,0.922,38.14
2026-05-12 14:37:19,R01BWZG9,0.804,19.1
2026-05-12 14:37:21,TK018W2687,0.815,14.98
2026-05-12 14:37:23,TK01BW2687,0.94,14.92
2026-05-12 14:39:31,TN01BH4,0.777,18.12
2026-05-12 14:39:33,TN01BW4303,0.952,15.36
2026-05-12 14:39:34,TM1BN9061,0.73,15.01
2026-05-12 14:39:36,TH01BN9061,0.804,31.34
2026-05-12 14:39:37,TN01BH4303,0.909,24.44
2026-05-12 14:39:50,TN01B4303,0.939,19.63
2026-05-12 14:41:07,TN01B1,0.817,17.78
2026-05-12 14:41:09,TN01BH2754,0.895,18.03
2026-05-12 14:41:11,TH01BH2754,0.924,14.86
2026-05-12 14:41:15,BH2754,0.86,16.05
2026-05-12 14:41:19,121505402026,0.972,19.64
2026-05-12 14:41:21,21505402026,0.918,18.58
2026-05-12 14:44:42,TN01BH2688,0.888,19.21
2026-05-12 14:46:25,TN018W4362,0.866,13.92
2026-05-12 14:46:29,21509242026,0.949,55.16
2026-05-12 14:46:29,TN01BW4362,0.908,14.78
2026-05-12 14:47:08,TN01BW4348,0.933,27.65
2026-05-12 14:47:10,TH01BH4348,0.887,24.34
2026-05-12 14:47:12,TN01BH4348,0.888,33.71
2026-05-12 14:47:14,N01B14348,0.915,25.16
2026-05-12 14:47:17,N01B4348,0.959,29.68
2026-05-12 14:47:28,TN01BN4348,0.815,15.59
2026-05-12 14:47:30,TN01BM4348,0.875,18.82
2026-05-12 14:49:26,TR010W439,0.764,21.93
2026-05-12 14:49:28,TN01BW4393,0.891,21.21
2026-05-12 14:50:06,TN018W4358,0.846,21.06
2026-05-12 14:50:07,21513062026,0.984,12.77
2026-05-12 14:50:12,TN01BW4358,0.971,18.91
2026-05-12 14:50:14,TN01BH4358,0.897,16.02
2026-05-12 14:50:16,TH01BH4358,0.849,26.93
2026-05-12 14:50:59,TN01BW2,0.882,14.92
2026-05-12 14:51:01,TN01BW2797,0.902,21.38
2026-05-12 14:51:05,TN01BH2797,0.901,18.57
2026-05-12 14:51:18,BW2797,0.873,14.39
2026-05-12 14:51:41,N01BW43,0.671,15.53
2026-05-12 14:51:43,TN018W4308,0.805,24.02
2026-05-12 14:51:45,TN01BW4308,0.939,22.77
2026-05-12 14:52:29,TN01BW,0.824,23.18
2026-05-12 14:52:31,TN01BW4368,0.901,26.27
2026-05-12 14:52:40,TN01B4368,0.944,15.93
2026-05-12 14:52:54,1H018W26,0.693,16.71
2026-05-12 14:52:56,TN018W2604,0.858,17.09
2026-05-12 14:52:58,TN01BW2604,0.86,19.57
2026-05-12 14:53:43,TH01BW2745,0.839,16.24
2026-05-12 14:53:45,TN01BW2745,0.947,19.69
2026-05-12 14:53:47,TN01B2745,0.886,20.82
2026-05-12 14:55:06,TN01BH2745,0.932,18.53
2026-05-12 14:55:08,1N01B2745,0.902,19.59
2026-05-12 14:55:21,BW2745,0.961,16.98
2026-05-12 14:55:48,TH01BH9,0.817,19.23
2026-05-12 14:55:50,TM01BH9022,0.822,22.61
2026-05-12 14:55:52,TN018H9022,0.767,15.98
2026-05-12 14:56:28,21520502026,0.967,26.59
2026-05-12 14:56:32,21520512026,0.924,23.4
2026-05-12 14:56:39,TH01BH,0.806,40.54
2026-05-12 14:56:41,TN01BH9042,0.858,31.6
2026-05-12 14:56:50,TN01BW9042,0.928,23.53
2026-05-12 14:57:45,TN01BH912,0.891,28.78
2026-05-12 14:57:48,TN01BW9127,0.882,35.65
2026-05-12 14:58:08,TH01BH9127,0.806,33.55
2026-05-12 14:58:11,TN01BH2783,0.894,24.81
2026-05-12 14:58:32,TN018W2783,0.797,29.71
2026-05-12 15:02:09,TN01BW5,0.825,22.55
2026-05-12 15:02:11,TN01BW5391,0.899,29.5
2026-05-12 15:02:28,TN01BW539,0.869,21.56
2026-05-12 15:03:18,TN01BH5391,0.823,29.77
2026-05-12 15:03:24,TN01BW27,0.887,23.63
2026-05-12 15:03:26,TN01BW2731,0.912,31.22
2026-05-12 15:04:09,TH01BH2731,0.894,28.06
2026-05-12 15:04:51,TK018W436,0.845,20.07
2026-05-12 15:04:51,TK01BH,0.803,30.24
2026-05-12 15:04:53,TN01BW4360,0.87,23.3
2026-05-12 15:04:53,TH01BH2697,0.873,18.13
2026-05-12 15:05:11,TN01BH2697,0.841,29.18
2026-05-12 15:05:14,TN018H2697,0.826,23.7
2026-05-12 15:05:16,TN01842697,0.84,27.71
2026-05-12 15:05:31,TN01BW4330,0.855,39.47
2026-05-12 15:06:00,TN01BW2776,0.887,31.96
2026-05-12 15:06:38,TND1BW5,0.815,37.98
2026-05-12 15:06:40,TN01BW5340,0.887,26.57
2026-05-12 15:07:11,121530022026,0.986,32.12
2026-05-12 15:07:14,121530032026,0.923,37.1
